,code,date,time,open,close,high,low,volume,money,avg,factor
0,1,20140102,09:31,121199,121100,121199,120900,1094300,13257319,121150,63.602
1,1,20140102,09:32,121100,121000,121199,121000,554600,6713421,121050,63.602
2,1,20140102,09:33,121000,121700,121700,121000,283000,3432116,121280,63.602
3,1,20140102,09:34,121500,121800,122100,121500,560900,6838232,121920,63.602
4,1,20140102,09:35,121900,121600,121900,121500,593900,7229056,121720,63.602
5,1,20140102,09:36,121600,121500,121600,121400,431900,5248184,121510,63.602
6,1,20140102,09:37,121500,121500,121700,121500,416800,5064400,121510,63.602
7,1,20140102,09:38,121500,121199,121500,121199,697700,8467308,121359,63.602
8,1,20140102,09:39,121300,121300,121600,121199,303700,3686100,121370,63.602
9,1,20140102,09:40,121300,121500,121700,121300,187100,2272528,121460,63.602
10,1,20140102,09:41,121300,121600,121600,121300,200000,2429128,121460,63.602
11,1,20140102,09:42,121500,121600,121700,121500,276600,3362072,121550,63.602
12,1,20140102,09:43,121700,121800,121900,121600,360200,4383456,121700,63.602
13,1,20140102,09:44,122000,122500,122500,121900,254000,3106352,122300,63.602
14,1,20140102,09:45,122500,122800,122899,122500,364800,4478328,122760,63.602
15,1,20140102,09:46,122700,122500,122700,122300,330300,4047944,122550,63.602
16,1,20140102,09:47,122500,122600,122700,122400,276600,3388928,122520,63.602
17,1,20140102,09:48,122600,122600,122800,122600,148000,1815296,122660,63.602
18,1,20140102,09:49,122700,122300,122700,122300,307200,3763160,122500,63.602
19,1,20140102,09:50,122400,122200,122400,122000,201800,2466400,122220,63.602
20,1,20140102,09:51,122000,122300,122300,122000,157600,1924528,122110,63.602
21,1,20140102,09:52,122200,122500,122500,122200,139300,1705344,122420,63.602
22,1,20140102,09:53,122600,122400,122600,122400,105300,1290240,122530,63.602
23,1,20140102,09:54,122400,122300,122500,122200,151700,1856016,122350,63.602
24,1,20140102,09:55,122300,122200,122300,122000,344700,4210792,122160,63.602
25,1,20140102,09:56,122100,121800,122100,121600,571700,6961304,121760,63.602
26,1,20140102,09:57,121800,122000,122000,121700,283400,3451616,121790,63.602
27,1,20140102,09:58,122000,121900,122000,121800,236500,2882552,121880,63.602
28,1,20140102,09:59,122000,121900,122100,121800,72800,887192,121870,63.602
29,1,20140102,10:00,121900,122000,122000,121800,204800,2495896,121870,63.602
30,1,20140102,10:01,122000,122200,122300,121900,192000,2345232,122150,63.602
31,1,20140102,10:02,122200,122100,122200,122000,116400,1421248,122100,63.602
32,1,20140102,10:03,122000,122000,122100,121900,104100,1270872,122080,63.602
33,1,20140102,10:04,122100,122100,122200,122000,106800,1303632,122060,63.602
34,1,20140102,10:05,122200,122000,122200,121900,162100,1978504,122050,63.602
35,1,20140102,10:06,122000,121800,122000,121800,151000,1839808,121840,63.602
36,1,20140102,10:07,121900,121600,121900,121600,341500,4156920,121730,63.602
37,1,20140102,10:08,121800,121400,121800,121400,492100,5980512,121530,63.602
38,1,20140102,10:09,121400,121300,121500,121199,349100,4233456,121270,63.602
39,1,20140102,10:10,121400,121300,121400,121199,185500,2249888,121290,63.602
40,1,20140102,10:11,121300,121000,121400,121000,906200,10970464,121060,63.602
41,1,20140102,10:12,120900,120600,121000,120500,652800,7880832,120719,63.602
42,1,20140102,10:13,120700,120700,120800,120600,123600,1491264,120650,63.602
43,1,20140102,10:14,120800,120900,121000,120700,249200,3012592,120890,63.602
44,1,20140102,10:15,121000,120900,121100,120900,238800,2889936,121020,63.602
45,1,20140102,10:16,120900,120900,121000,120800,279300,3375856,120870,63.602
46,1,20140102,10:17,120800,120900,121000,120800,143100,1728256,120770,63.602
47,1,20140102,10:18,120900,121000,121000,120800,160900,1945504,120910,63.602
